"AccountID","Name","Password","Role"
"TP001","admin","admin123","Admin"
"TP002","student","student123","Student"
"TP003","tutor","tutor123","Tutor"
"TP004","receptionist","receptionist123","Receptionist"
"TP005","WONG ZHEN HAO","@Wongzhenhao123","Student"
"TP006","STEWART TAN","@Stewart123","Student"
"TP007","James","JamseIsCool&123","Receptionist"
"TP008","Mike Hawk","MikeHawk@123","Tutor"
"TP009","Ben Dover","BenDover@123","Tutor"
"TP010","BigBallz","BigBallz123%","Admin"
"TP011","Ufufufuwef","@123SAYYESes","Tutor"
